prod-a-enrollment-api,acsv2_enrollmentservice_api,jenkins-master-19,jenkins-master-25,Mismatch
prod-a-pendingservice,acsv2_pending_service,jenkins-master.c591023f502ca54d0776a1207be99977dd4e03b5.306,jenkins-feature_EMVN-38726-emv-ul-acs-22-renewal.db661b2a5144a5432b67d610476e0a1d1ef56ba5.598,Mismatch
prod-a-rbadataservice,acsv2_rba_data_service,jenkins-master.2c6ee38433153e2b7ffa141ebad50fa8b7bd1d2d.44,jenkins-qa.e297bd6b3152dc0245a41d5aa45cf5de3a2e0caf.64,Mismatch
prod-a-rbaservice,acsv2_rba_service,jenkins-master.7161e83041b195df7457e10b03434a742a64848c.69,jenkins-qa.e297bd6b3152dc0245a41d5aa45cf5de3a2e0caf.65,Mismatch
prod-a-rbawriterservice,acsv2_rba_writer_service,jenkins-master.2c6ee38433153e2b7ffa141ebad50fa8b7bd1d2d.45,jenkins-qa.e297bd6b3152dc0245a41d5aa45cf5de3a2e0caf.67,Mismatch
prod-a-servicebridge,acsv2_service_bridge,jenkins-master-19,jenkins-master-19,Match
prod-a-threeds-adminapi,acsv2_3ds_admin_api,jenkins-master.c8fb9374003ce630b5181706e4deabc425aa26f5.219,qa.107,Mismatch
prod-a-threeds-mpi-portal-api,threeds_mpi_portal_api,jenkins-emv_admin_api-master-9,jenkins-hotfix_EMVN-38967.6c67483d81f32cdd36cd65bca4ed844aec6c87a9.10,Mismatch
prod-a-twoctwop-adminapi,acsv2_2c2p_admin_api,jenkins-master.c8fb9374003ce630b5181706e4deabc425aa26f5.218,master.38,Mismatch
prod-a-twoctwop-adminui,acsv2_2c2p_admin_ui,jenkins-master-39,jenkins-release_Admin_UI_2.11.0-5,Mismatch
prod-a-vbl-cardsyncservice-api,emv-vbl-cardsyncservice,jenkins-emv_vbl-pipeline-19,jenkins-release_VBL_3DS_1.0_ACS_v2.1,Mismatch
prod-a-vbl-commonenroll-api,emv-vbl-commonenroll,jenkins-emv_vbl-pipeline-20,jenkins-emv_vbl_commonenroll-pipeline-9,Mismatch
